history_id,user_id,username,first_name
1,1046818776,kkkkkkkkkkkkk_kkks,Снежа
1,7653383768,asuuuur12,Raman
1,5302034245,a_warmboy,Metreex
3,7450263497,,Vyacheslav
3,609517172,MissRose_bot,Rose
3,7585708209,,Y93822
3,7564855538,supercommendationangara,Philishe
3,7079164359,,Nikita
3,7814152862,Preatomic_patroller,Raisabulgakovai
3,8301896234,Nattyyaeko0012,Natty
3,7704716136,archsewer_Gingeleys,Jasperc
3,6828424635,,Nury Zapata
3,7909161126,EvanKate0701,Marry
3,7598415156,,Vladlenatikho
3,7802096917,,Abbamon
3,7750818672,,
3,7404871260,,
3,696267355,ProtectronBot,Protectron
3,7098234512,,2cool Dg
3,5923770064,Aztelegram123,A
3,7216297120,,Mauro
3,6049797059,,
3,7545590366,,Rahul
3,7812726831,,Thomasrodriguez07
3,7550060336,,Silage_sca
3,7762334966,,Janet
3,8166718802,,
3,7674330780,,Ruthhill6
3,7313868369,,Taylorronaldn
3,7956440377,,Elect-02m
3,6981949584,shndizndkt41394,Nat Morse
3,7267332819,,Christian
3,7656893402,,wasabiholic
3,5073290912,Linkedin0033,SL ID GV TF TN Linkedin Ring4
3,7222322602,,All Are
3,7113908697,,Elisa
3,5284650213,yeang1992,TN/TF/TT VEANDER
3,5785321545,vivekyadavgaminag275340,vivekkumaryadav
3,6174215012,,تركيب إسبلت
3,5133190294,Sumanchuahan123,mean world
3,631721005,,
3,6331451640,,
3,5631756011,,Monir
3,855975036,CoronaVirusRobot,Coronavirus 🦠
3,749086921,Jokerkabot,Joker
3,927064181,,Sachin
3,1010416725,Nirajkn,Niraj karn
3,968000181,SHINCHAN_1_1,SHINCHAN 🐈‍⬛$X
3,1031074883,Subash1102,Subash
3,948575359,,
3,173475782,jh0ker_welcomebot,Welcome Bot
3,900728210,ESLAM_MOD,ılıll|̲̅̅●̲̅̅|̲̅̅=̲̅̅|̲̅̅●̲̅̅|llılısad ılıll|̲̅̅●̲̅̅|̲̅̅=̲̅̅|̲̅̅
3,1010840080,officialemperor_1,"๖GOD ""Emperor"
3,244453006,insanbiasa97,Hanya
3,724960156,Bilalawan8,M Bilal 🐾
3,909117236,GHClone3Bot,Group Help
3,210944655,combot,Combot
3,119606003,vkmusic_bot,VK Music Bot
3,949855794,Royadiam,Ashhh
3,565307055,Pato2471,Cr7
3,664379375,Mrproffr,Mr
3,872735519,,
3,777742628,,Raju
4,7450263497,,Vyacheslav
4,609517172,MissRose_bot,Rose
4,7585708209,,Y93822
4,7564855538,supercommendationangara,Philishe
4,7079164359,,Nikita
4,7814152862,Preatomic_patroller,Raisabulgakovai
4,8301896234,Nattyyaeko0012,Natty
4,7704716136,archsewer_Gingeleys,Jasperc
4,6828424635,,Nury Zapata
4,7909161126,EvanKate0701,Marry
4,7598415156,,Vladlenatikho
4,7802096917,,Abbamon
4,7750818672,,
4,7404871260,,
4,696267355,ProtectronBot,Protectron
4,7098234512,,2cool Dg
4,5923770064,Aztelegram123,A
4,7216297120,,Mauro
4,6049797059,,
4,7545590366,,Rahul
5,7450263497,,Vyacheslav
5,609517172,MissRose_bot,Rose
5,7585708209,,Y93822
5,7564855538,supercommendationangara,Philishe
5,7079164359,,Nikita
5,7814152862,Preatomic_patroller,Raisabulgakovai
5,8301896234,Nattyyaeko0012,Natty
5,7704716136,archsewer_Gingeleys,Jasperc
5,6828424635,,Nury Zapata
5,7909161126,EvanKate0701,Marry
5,7598415156,,Vladlenatikho
5,7802096917,,Abbamon
5,7750818672,,
5,7404871260,,
5,696267355,ProtectronBot,Protectron
5,7098234512,,2cool Dg
5,5923770064,Aztelegram123,A
5,7216297120,,Mauro
5,6049797059,,
5,7545590366,,Rahul
6,7450263497,,Vyacheslav
6,609517172,MissRose_bot,Rose
6,7585708209,,Y93822
6,7564855538,supercommendationangara,Philishe
6,7079164359,,Nikita
6,7814152862,Preatomic_patroller,Raisabulgakovai
6,8301896234,Nattyyaeko0012,Natty
6,7704716136,archsewer_Gingeleys,Jasperc
6,6828424635,,Nury Zapata
6,7909161126,EvanKate0701,Marry
7,7450263497,,Vyacheslav
7,609517172,MissRose_bot,Rose
7,7585708209,,Y93822
7,7564855538,supercommendationangara,Philishe
7,7079164359,,Nikita
7,7814152862,Preatomic_patroller,Raisabulgakovai
7,8301896234,Nattyyaeko0012,Natty
7,7704716136,archsewer_Gingeleys,Jasperc
7,6828424635,,Nury Zapata
7,7909161126,EvanKate0701,Marry
8,7450263497,,Vyacheslav
8,609517172,MissRose_bot,Rose
8,7585708209,,Y93822
8,7564855538,supercommendationangara,Philishe
8,7079164359,,Nikita
8,7814152862,Preatomic_patroller,Raisabulgakovai
8,8301896234,Nattyyaeko0012,Natty
8,7704716136,archsewer_Gingeleys,Jasperc
8,6828424635,,Nury Zapata
8,7909161126,EvanKate0701,Marry
9,7450263497,,Vyacheslav
9,609517172,MissRose_bot,Rose
9,7585708209,,Y93822
9,7564855538,supercommendationangara,Philishe
9,7079164359,,Nikita
9,7814152862,Preatomic_patroller,Raisabulgakovai
9,8301896234,Nattyyaeko0012,Natty
9,7704716136,archsewer_Gingeleys,Jasperc
9,6828424635,,Nury Zapata
9,7909161126,EvanKate0701,Marry
10,7450263497,,Vyacheslav
10,609517172,MissRose_bot,Rose
10,7585708209,,Y93822
10,7564855538,supercommendationangara,Philishe
10,7079164359,,Nikita
10,7814152862,Preatomic_patroller,Raisabulgakovai
10,8301896234,Nattyyaeko0012,Natty
10,7704716136,archsewer_Gingeleys,Jasperc
10,6828424635,,Nury Zapata
10,7909161126,EvanKate0701,Marry
11,7450263497,,Vyacheslav
11,609517172,MissRose_bot,Rose
11,7585708209,,Y93822
11,7564855538,supercommendationangara,Philishe
11,7079164359,,Nikita
11,7814152862,Preatomic_patroller,Raisabulgakovai
11,8301896234,Nattyyaeko0012,Natty
11,7704716136,archsewer_Gingeleys,Jasperc
11,6828424635,,Nury Zapata
11,7909161126,EvanKate0701,Marry
